order_id,customer_id,order_date,city,total_amount
1,1102,2023-10-19,Houston,95.43395883229412
2,1045,2023-03-10,Chicago,380.8318836870182
3,1301,2023-09-26,Houston,126.69165865463674
4,1252,2023-03-06,Chicago,324.203998578902
5,1443,2023-08-01,San Francisco,392.89801089049973
6,1335,2023-02-14,San Francisco,220.17368756575306
7,1262,2023-12-18,New York,319.1062496780801
8,1802,2023-08-26,Los Angeles,244.84256350137744
9,1730,2023-01-06,New York,382.4764044502162
10,1194,2023-01-08,Houston,157.73233551615488
11,1683,2023-08-20,San Francisco,125.661559967747
12,1241,2023-07-12,Houston,380.1790052089636
13,1914,2023-08-02,Los Angeles,40.56303530255574
14,1707,2023-04-06,Los Angeles,413.7442762794324
15,1614,2023-12-15,New York,161.94872711720055
16,1988,2023-02-25,San Francisco,229.3730739147479
17,1310,2023-05-26,Los Angeles,448.9589416536086
18,1885,2023-04-03,Los Angeles,492.031955253233
19,1261,2023-01-13,San Francisco,24.3943900559996
20,1323,2023-05-28,Houston,284.51669335450975
21,1494,2023-02-04,San Francisco,234.144458738946
22,1725,2023-05-25,Chicago,54.58662112599945
23,1995,2023-04-16,Houston,358.3077713545151
24,1660,2023-08-15,San Francisco,477.0766525472878
25,1429,2023-05-14,Chicago,251.44647353377636
26,1768,2023-04-07,Chicago,78.67742137566096
27,1303,2023-04-23,New York,368.61998292708586
28,1502,2023-06-04,Houston,90.34101798702434
29,1200,2023-11-30,New York,484.40506881344976
30,1647,2023-12-25,Chicago,426.3035983868281
31,1781,2023-08-04,Los Angeles,204.17417887677973
32,1547,2023-11-10,New York,197.78569239417757
33,1514,2023-05-16,Houston,95.83215769692457
34,1705,2023-06-19,San Francisco,400.20602195636513
35,1635,2023-01-18,San Francisco,288.82896803485545
36,1621,2023-10-13,New York,346.9412213467512
37,1469,2023-09-26,San Francisco,161.76751989140814
38,1606,2023-03-04,Los Angeles,320.6241115622715
39,1370,2023-07-04,New York,168.59755285542144
40,1637,2023-07-21,New York,298.8049131289298
41,1717,2023-05-27,Los Angeles,449.221926629464
42,1461,2023-10-21,New York,371.35548497399793
43,1591,2023-02-03,Houston,484.9136388693183
